bike_number,accumulated_hours_past,total_trips_past,bike_model
2,78.02163666666667,243.0,CLASSIC
4,77.02078555555555,253.0,CLASSIC
10168,19.02292694444445,69.0,CLASSIC
10169,31.534739444444448,99.0,CLASSIC
10274,44.411010000000005,177.0,CLASSIC
10300,22.42693361111111,79.0,CLASSIC
10310,30.077290833333333,134.0,CLASSIC
10342,30.346250555555557,103.0,CLASSIC
10366,14.01171972222222,41.0,CLASSIC
10390,35.513573333333326,155.0,CLASSIC
10744,80.1099013888889,169.0,CLASSIC
10819,34.264116111111115,139.0,CLASSIC
10941,23.40157777777777,104.0,CLASSIC
10957,18.63660944444445,72.0,CLASSIC
11204,24.069749722222223,92.0,CLASSIC
11210,15.8356175,59.0,CLASSIC
11226,55.87119472222222,228.0,CLASSIC
11228,63.261431388888894,220.0,CLASSIC
11235,53.88850111111111,214.0,CLASSIC
11238,16.817507222222222,72.0,CLASSIC
11248,36.246561666666665,150.0,CLASSIC
11266,15.289454444444448,67.0,CLASSIC
11270,45.415545,136.0,CLASSIC
11285,48.6342075,203.0,CLASSIC
11287,37.686265000000006,123.0,CLASSIC
11288,45.53644416666667,164.0,CLASSIC
11296,26.413269166666662,106.0,CLASSIC
11302,9.1583225,30.0,CLASSIC
11305,22.31213194444444,67.0,CLASSIC
11355,12.416465555555554,47.0,CLASSIC
11364,6.237136944444444,25.0,CLASSIC
11381,38.45246972222221,149.0,CLASSIC
11387,38.81629888888889,156.0,CLASSIC
11391,16.930549166666665,67.0,CLASSIC
11405,33.35272388888888,133.0,CLASSIC
11406,55.82700527777777,211.0,CLASSIC
11407,56.58025472222222,215.0,CLASSIC
11425,16.350723055555555,83.0,CLASSIC
11440,44.59691444444445,154.0,CLASSIC
11445,32.806398888888886,146.0,CLASSIC
11447,12.106168055555557,46.0,CLASSIC
11464,26.032584166666663,120.0,CLASSIC
11475,14.64832083333333,59.0,CLASSIC
11479,23.967017222222218,86.0,CLASSIC
11480,31.141503055555557,111.0,CLASSIC
11496,106.48958055555556,128.0,CLASSIC
11499,49.106164444444445,200.0,CLASSIC
11512,38.55225083333333,141.0,CLASSIC
11515,65.68610111111111,232.0,CLASSIC
11517,51.07044416666667,186.0,CLASSIC
11531,30.316040833333336,120.0,CLASSIC
11552,36.63003888888889,123.0,CLASSIC
11569,13.015073055555556,50.0,CLASSIC
11577,29.36359416666667,104.0,CLASSIC
11579,35.35780472222222,113.0,CLASSIC
11616,63.47668333333333,161.0,CLASSIC
11637,37.05468666666667,141.0,CLASSIC
11656,48.07291833333333,183.0,CLASSIC
11667,61.98308361111111,209.0,CLASSIC
11673,51.90425972222222,208.0,CLASSIC
11676,0.8370413888888889,4.0,CLASSIC
11678,27.25475555555556,109.0,CLASSIC
11698,42.88636583333334,157.0,CLASSIC
11702,75.65373694444445,121.0,CLASSIC
11710,33.8307325,134.0,CLASSIC
11717,37.47582,126.0,CLASSIC
11720,69.23135583333334,214.0,CLASSIC
11729,36.08605194444444,123.0,CLASSIC
11744,79.50662222222223,175.0,CLASSIC
11748,23.51909,100.0,CLASSIC
11758,69.46695777777778,110.0,CLASSIC
11763,48.513175277777776,192.0,CLASSIC
11764,35.09755861111111,140.0,CLASSIC
11778,40.42813,114.0,CLASSIC
11784,35.401515,93.0,CLASSIC
11805,56.36552833333334,197.0,CLASSIC
11806,20.97594,67.0,CLASSIC
11807,67.0592738888889,185.0,CLASSIC
11814,38.06101472222223,108.0,CLASSIC
11825,33.953978611111104,107.0,CLASSIC
11830,56.05522416666667,194.0,CLASSIC
11833,93.0160325,254.0,CLASSIC
11842,66.2215888888889,236.0,CLASSIC
